Rod Sleeve;3G5510A04152;3G5510A02733;871;;RT;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;10000;0;1498;835,8;1652;#VALUE!;835,8;1652;n/a;9164,2;n/a;n/a;
Rod Sleeve;3G5510A04152;3G5510A02733;903;;RT;5/7/10;0;0;;#VALUE!;;;0Y 0M 0D;0;10000;0;1498;835,8;1652;#VALUE!;835,8;1652;n/a;9164,2;n/a;n/a;
MAIN ROTOR BLADE;3G6210A00131;3G6210A00131;V276;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;1498;837,55;1652;1498;837,55;1652;n/a;9162,45;n/a;n/a;
MAIN ROTOR BLADE;3G6210A00131;3G6210A00131;V167;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;1498;837,55;1652;1498;837,55;1652;n/a;9162,45;n/a;n/a;
MAIN ROTOR BLADE;3G6210A00131;3G6210A00131;V268;;RT;5/7/10;0;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;1498;837,55;1652;1498;837,55;1652;n/a;9162,45;n/a;n/a;
MAIN ROTOR BLADE;3G6210A00131;3G6210A00131;R2013;;RT;21/1/13;464;0;0Y 0M 0D;0;0;0;0Y 0M 0D;0;10000;0;582;373,55;1652;582;373,55;1652;n/a;9626,45;n/a;n/a;
MAIN ROTOR BLADE;3G6210A00131;3G6210A00131;V597;;RT;5/11/13;599;0;2Y 5M 0D;880;400,78;0;0Y 0M 0D;0;10000;0;298;238,55;1652;1178;639,33;1652;n/a;9360,67;n/a;n/a;
Main Rotor Hub Assy;3G6220A00332;3G6220A00332;R409;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;46000;0;1498;840,8;1652;1498;840,8;1652;n/a;45159,2;n/a;n/a;
Main Rotor Scissors Attachment Flange Assy;3G6220A00632;3G6220A00632;R439;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;47450;0;1498;835,8;1652;1498;835,8;1652;n/a;46614,2;n/a;n/a;
BOLT;3G6220A01251;3G6220A01251;S3443;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;51700;0;1498;835,8;1652;1498;835,8;1652;n/a;50864,2;n/a;n/a;
BOLT;3G6220A01251;3G6220A01251;S3444;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;51700;0;1498;835,8;1652;1498;835,8;1652;n/a;50864,2;n/a;n/a;
BOLT;3G6220A01251;3G6220A01251;S3445;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;51700;0;1498;835,8;1652;1498;835,8;1652;n/a;50864,2;n/a;n/a;
BOLT;3G6220A01251;3G6220A01251;S3446;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;51700;0;1498;835,8;1652;1498;835,8;1652;n/a;50864,2;n/a;n/a;
BOLT;3G6220A01251;3G6220A01251;S3447;;RT;5/7/10;0;0;0Y 0M 0D;0;;;0Y 0M 0D;0;51700;0;1498;835,8;1652;1498;835,8;1652;n/a;50864,2;n/a;n/a;
